,seed,num_timesteps,num_defenders,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
41,3,8,2,1,2,0.003420591354370117,0.9070279891043833,15,5,15,6
42,3,8,2,1,3,0.0,0.4403476100026392,15,5,15,6
43,3,8,2,1,4,0.00812673568725586,0.5346621666635256,15,5,15,6
44,3,8,2,1,5,0.008620500564575195,0.6115748604114679,15,5,15,6
45,3,8,2,1,6,0.0025534629821777344,0.24359380565938094,15,5,15,6
46,3,8,2,1,7,0.008873701095581055,0.2767407036163222,15,5,15,6
47,3,8,2,1,8,0.010015010833740234,0.05502948585617229,15,5,15,6
48,3,8,2,1,9,0.0,0.053194777725195874,15,5,15,6
49,3,8,2,1,10,0.014504671096801758,0.6232122367115495,15,5,15,6
50,3,8,2,1,11,0.005374908447265625,0.042889584469289255,15,5,15,6
51,3,8,2,1,12,0.011322259902954102,0.02302970060315368,15,5,15,6
52,3,8,2,1,13,0.0108184814453125,0.04488880226037539,15,5,15,6
53,3,8,2,1,14,0.008608341217041016,0.0498941845497094,15,5,15,6
54,3,8,2,1,15,0.00925755500793457,0.0,15,5,15,6
55,4,8,2,1,1,0.0040166378021240234,0.20167954943522393,19,6,18,8
56,4,8,2,1,2,0.004637241363525391,0.3867180765720044,19,6,18,8
57,4,8,2,1,3,0.005009889602661133,0.22215500311595604,19,6,18,8
58,4,8,2,1,4,0.005966663360595703,0.3852621459163472,19,6,18,8
59,4,8,2,1,5,0.005976438522338867,0.13005040832396386,19,6,18,8
60,4,8,2,1,6,0.006386518478393555,0.3788902164652498,19,6,18,8
61,4,8,2,1,7,0.006591320037841797,0.20726220032875975,19,6,18,8
62,4,8,2,1,8,0.00847768783569336,0.6501434959069654,19,6,18,8
63,4,8,2,1,9,0.008480548858642578,0.21478817591415234,19,6,18,8
64,4,8,2,1,10,0.009027719497680664,0.07569442240449364,19,6,18,8
65,4,8,2,1,11,0.009345769882202148,0.050266851401725265,19,6,18,8
66,4,8,2,1,12,0.010599851608276367,0.0465174193464466,19,6,18,8
67,4,8,2,1,13,0.011338949203491211,0.6986429987530625,19,6,18,8
68,4,8,2,1,14,0.012785196304321289,0.06731343871233841,19,6,18,8
69,4,8,2,1,15,0.009513616561889648,0.05120868876478768,19,6,18,8
70,4,8,2,1,16,0.013815879821777344,0.05106897602896454,19,6,18,8
71,4,8,2,1,17,0.01117849349975586,0.03198902842945839,19,6,18,8
72,4,8,2,1,18,0.011017799377441406,0.03440235187149143,19,6,18,8
73,4,8,2,1,19,0.011247634887695312,2.220446049250313e-16,19,6,18,8
74,5,8,2,1,1,0.003454923629760742,0.8030453487193273,8,3,7,5
75,5,8,2,1,2,0.004872322082519531,0.5102566853713475,8,3,7,5
76,5,8,2,1,3,0.005892753601074219,0.47008931483085925,8,3,7,5
77,5,8,2,1,4,0.0055501461029052734,0.08235061185872516,8,3,7,5
78,5,8,2,1,5,0.006432533264160156,0.09292640345630998,8,3,7,5
79,5,8,2,1,6,0.00713348388671875,0.5805590545843184,8,3,7,5
80,5,8,2,1,7,0.005888462066650391,0.08204929155159768,8,3,7,5
81,5,8,2,1,8,0.008107423782348633,1.1102230246251565e-16,8,3,7,5
