,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
1733,9,11,8,2,3,0.002796173095703125,0.4840579710144927,12,5,11,6
1734,9,11,8,2,4,0.0017402172088623047,0.5472463768115942,12,5,11,6
1735,9,11,8,2,5,0.001810312271118164,0.3249569707401033,12,5,11,6
1736,9,11,8,2,6,0.0020046234130859375,0.3170322147304245,12,5,11,6
1737,9,11,8,2,7,0.004008054733276367,0.13333333333333336,12,5,11,6
1738,9,11,8,2,8,0.002003908157348633,0.2666666666666667,12,5,11,6
1739,9,11,8,2,9,0.0017409324645996094,0.2000000000000001,12,5,11,6
1740,9,11,8,2,10,0.0034797191619873047,0.19696969696969702,12,5,11,6
1741,9,11,8,2,11,0.0030083656311035156,0.20020644948181174,12,5,11,6
1742,9,11,8,2,12,0.002003908157348633,0.0,12,5,11,6
1743,9,11,9,1,1,0.0156705379486084,0.9843478260869565,16,6,14,7
1744,9,11,9,1,2,0.004277706146240234,0.8,16,6,14,7
1745,9,11,9,1,3,0.0014655590057373047,0.4840579710144927,16,6,14,7
1746,9,11,9,1,4,0.002033233642578125,0.3249569707401033,16,6,14,7
1747,9,11,9,1,5,0.0021767616271972656,0.13333333333333336,16,6,14,7
1748,9,11,9,1,6,0.0,0.2666666666666667,16,6,14,7
1749,9,11,9,1,7,0.0,0.2000000000000001,16,6,14,7
1750,9,11,9,1,8,0.0,0.20020644948181174,16,6,14,7
1751,9,11,9,1,9,0.01084280014038086,0.23188405797101447,16,6,14,7
1752,9,11,9,1,10,0.002247333526611328,0.18257612766650383,16,6,14,7
1753,9,11,9,1,11,0.0030188560485839844,0.2179710144927538,16,6,14,7
1754,9,11,9,1,12,0.004033327102661133,0.09844766528503851,16,6,14,7
1755,9,11,9,1,13,0.005041599273681641,0.09002927216498258,16,6,14,7
1756,9,11,9,1,14,0.0025370121002197266,0.21565217391304353,16,6,14,7
1757,9,11,9,1,15,0.005101919174194336,0.048334186398296564,16,6,14,7
1758,9,11,9,1,16,0.004035472869873047,1.1102230246251565e-16,16,6,14,7
1759,9,11,9,2,1,0.001798391342163086,0.9843478260869565,14,5,12,6
1760,9,11,9,2,2,0.002038717269897461,0.4840579710144927,14,5,12,6
1761,9,11,9,2,3,0.0019998550415039062,0.5472463768115942,14,5,12,6
1762,9,11,9,2,4,0.002000093460083008,0.3249569707401033,14,5,12,6
1763,9,11,9,2,5,0.0018591880798339844,0.6550110537951361,14,5,12,6
1764,9,11,9,2,6,0.0020437240600585938,0.3170322147304245,14,5,12,6
1765,9,11,9,2,7,0.002001047134399414,0.2376811594202899,14,5,12,6
1766,9,11,9,2,8,0.0030035972595214844,0.35014492753623194,14,5,12,6
1767,9,11,9,2,9,0.002740621566772461,0.24354838709677423,14,5,12,6
1768,9,11,9,2,10,0.0020155906677246094,0.23906954085982224,14,5,12,6
1769,9,11,9,2,11,0.003000020980834961,0.22657079728869417,14,5,12,6
1770,9,11,9,2,12,0.002975940704345703,0.2666666666666667,14,5,12,6
1771,9,11,9,2,13,0.0042400360107421875,0.07444192319442669,14,5,12,6
1772,9,11,9,2,14,0.0041043758392333984,0.0,14,5,12,6
1773,9,11,10,1,1,0.0,0.9843478260869565,18,6,15,7
1774,9,11,10,1,2,0.0,0.4840579710144927,18,6,15,7
1775,9,11,10,1,3,0.0,0.5472463768115942,18,6,15,7
1776,9,11,10,1,4,0.0,0.3249569707401033,18,6,15,7
1777,9,11,10,1,5,0.0,0.6550110537951361,18,6,15,7
1778,9,11,10,1,6,0.0,0.3170322147304245,18,6,15,7
1779,9,11,10,1,7,0.014223098754882812,0.13333333333333336,18,6,15,7
1780,9,11,10,1,8,0.0021317005157470703,0.2666666666666667,18,6,15,7
1781,9,11,10,1,9,0.0010013580322265625,0.2,18,6,15,7
1782,9,11,10,1,10,0.0020074844360351562,0.19696969696969702,18,6,15,7
1783,9,11,10,1,11,0.0020029544830322266,0.20020644948181174,18,6,15,7
1784,9,11,10,1,12,0.001001119613647461,0.23188405797101458,18,6,15,7
1785,9,11,10,1,13,0.0030126571655273438,0.06471515733187089,18,6,15,7
1786,9,11,10,1,14,0.002007722854614258,0.0643945953036863,18,6,15,7
1787,9,11,10,1,15,0.0020034313201904297,0.0031598502764593195,18,6,15,7
1788,9,11,10,1,16,0.0030791759490966797,0.2179710144927538,18,6,15,7
1789,9,11,10,1,17,0.0020036697387695312,0.04922383264251928,18,6,15,7
1790,9,11,10,1,18,0.0051326751708984375,1.1102230246251565e-16,18,6,15,7
1791,9,11,10,2,1,0.0018398761749267578,0.9843478260869565,13,5,9,6
1792,9,11,10,2,2,0.0020041465759277344,0.8,13,5,9,6
1793,9,11,10,2,3,0.0017406940460205078,0.4840579710144927,13,5,9,6
1794,9,11,10,2,4,0.0017397403717041016,0.5472463768115942,13,5,9,6
