,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,force_return,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
53,8,8,1,1,10,7,True,1,4,0.025806903839111328,0.8974269987615588,8,3,7,4
54,8,8,1,1,10,7,True,1,5,0.018650054931640625,0.31025156738055615,8,3,7,4
55,8,8,1,1,10,7,True,1,6,0.030902385711669922,0.06546956624735523,8,3,7,4
56,8,8,1,1,10,7,True,1,7,0.026758670806884766,0.5396517579656891,8,3,7,4
57,8,8,1,1,10,7,True,1,8,0.025606870651245117,1.1102230246251565e-16,8,3,7,4
58,9,8,1,1,10,7,True,1,1,0.014270544052124023,0.9878429808760185,7,5,7,5
59,9,8,1,1,10,7,True,1,2,0.012208223342895508,0.9878429808760185,7,5,7,5
60,9,8,1,1,10,7,True,1,3,0.01227879524230957,0.6884162805914789,7,5,7,5
61,9,8,1,1,10,7,True,1,4,0.012215614318847656,0.8338899538999192,7,5,7,5
62,9,8,1,1,10,7,True,1,5,0.012264251708984375,0.494348931575381,7,5,7,5
63,9,8,1,1,10,7,True,1,6,0.013166666030883789,0.49434893157538107,7,5,7,5
64,9,8,1,1,10,7,True,1,7,0.05014944076538086,2.220446049250313e-16,7,5,7,5
65,10,8,1,1,10,7,True,1,1,0.023519039154052734,0.9860110951755563,7,3,7,4
66,10,8,1,1,10,7,True,1,2,0.0235140323638916,0.9860110951755563,7,3,7,4
