,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
137,7,1,11,8,1,5,0.002158641815185547,0.4840579710144927,7,2,4,4
138,7,1,11,8,1,6,0.0029997825622558594,0.5472463768115942,7,2,4,4
139,7,1,11,8,1,7,0.0019998550415039062,1.1102230246251565e-16,7,2,4,4
140,7,1,11,8,2,1,0.0009999275207519531,0.9843478260869565,4,1,2,3
141,7,1,11,8,2,2,0.0009999275207519531,0.8,4,1,2,3
142,7,1,11,8,2,3,0.0009999275207519531,0.7420289855072464,4,1,2,3
143,7,1,11,8,2,4,0.0019998550415039062,0.0,4,1,2,3
144,7,1,11,9,1,1,0.0009999275207519531,0.9843478260869565,7,2,4,4
145,7,1,11,9,1,2,0.0009996891021728516,0.8,7,2,4,4
146,7,1,11,9,1,3,0.0,0.7420289855072464,7,2,4,4
147,7,1,11,9,1,4,0.0010001659393310547,0.7536231884057971,7,2,4,4
148,7,1,11,9,1,5,0.0009999275207519531,0.4840579710144927,7,2,4,4
149,7,1,11,9,1,6,0.0010001659393310547,0.5472463768115942,7,2,4,4
150,7,1,11,9,1,7,0.0009999275207519531,1.1102230246251565e-16,7,2,4,4
151,7,1,11,9,2,1,0.0011141300201416016,0.863768115942029,4,1,2,3
152,7,1,11,9,2,2,0.0009996891021728516,0.7536231884057971,4,1,2,3
153,7,1,11,9,2,3,0.0010001659393310547,0.49565217391304345,4,1,2,3
154,7,1,11,9,2,4,0.0009999275207519531,0.0,4,1,2,3
155,7,1,11,10,1,1,0.0009999275207519531,0.9843478260869565,7,3,4,4
156,7,1,11,10,1,2,0.0,0.8,7,3,4,4
157,7,1,11,10,1,3,0.0009999275207519531,0.7420289855072464,7,3,4,4
158,7,1,11,10,1,4,0.0010001659393310547,0.7536231884057971,7,3,4,4
159,7,1,11,10,1,5,0.0009999275207519531,0.4840579710144927,7,3,4,4
160,7,1,11,10,1,6,0.0009999275207519531,0.5472463768115942,7,3,4,4
161,7,1,11,10,1,7,0.0009999275207519531,5.551115123125783e-17,7,3,4,4
162,7,1,11,10,2,1,0.0009999275207519531,0.863768115942029,2,1,1,2
163,7,1,11,10,2,2,0.0,0.0,2,1,1,2
164,7,1,12,7,1,1,0.0020072460174560547,0.797093023255814,5,2,3,3
165,7,1,12,7,1,2,0.0,0.7976744186046512,5,2,3,3
166,7,1,12,7,1,3,0.0010013580322265625,0.4540697674418605,5,2,3,3
167,7,1,12,7,1,4,0.0,0.5232558139534884,5,2,3,3
168,7,1,12,7,1,5,0.0010013580322265625,1.1102230246251565e-16,5,2,3,3
169,7,1,12,7,2,1,0.0009996891021728516,0.797093023255814,5,2,3,3
170,7,1,12,7,2,2,0.0009996891021728516,0.7976744186046512,5,2,3,3
171,7,1,12,7,2,3,0.0,0.4540697674418605,5,2,3,3
172,7,1,12,7,2,4,0.0010001659393310547,0.5232558139534884,5,2,3,3
173,7,1,12,7,2,5,0.0,1.1102230246251565e-16,5,2,3,3
174,7,1,12,8,1,1,0.0010046958923339844,0.9825072886297376,7,2,4,4
175,7,1,12,8,1,2,0.0,0.8,7,2,4,4
176,7,1,12,8,1,3,0.001001596450805664,0.7154518950437319,7,2,4,4
177,7,1,12,8,1,4,0.0,0.7323615160349854,7,2,4,4
178,7,1,12,8,1,5,0.0009999275207519531,0.4559766763848397,7,2,4,4
179,7,1,12,8,1,6,0.0,0.5247813411078718,7,2,4,4
180,7,1,12,8,1,7,0.0009996891021728516,5.551115123125783e-17,7,2,4,4
181,7,1,12,8,2,1,0.0009999275207519531,0.9825072886297376,4,1,2,3
182,7,1,12,8,2,2,0.0,0.8,4,1,2,3
183,7,1,12,8,2,3,0.0010001659393310547,0.7154518950437319,4,1,2,3
184,7,1,12,8,2,4,0.0009996891021728516,0.0,4,1,2,3
185,7,1,12,9,1,1,0.0009999275207519531,0.9825072886297376,7,2,4,4
186,7,1,12,9,1,2,0.0010001659393310547,0.8,7,2,4,4
187,7,1,12,9,1,3,0.0010905265808105469,0.7154518950437319,7,2,4,4
188,7,1,12,9,1,4,0.0010020732879638672,0.7323615160349854,7,2,4,4
189,7,1,12,9,1,5,0.0010013580322265625,0.4559766763848397,7,2,4,4
190,7,1,12,9,1,6,0.0010001659393310547,0.5247813411078718,7,2,4,4
191,7,1,12,9,1,7,0.0009999275207519531,5.551115123125783e-17,7,2,4,4
192,7,1,12,9,2,1,0.0009999275207519531,0.8279883381924199,4,1,2,3
193,7,1,12,9,2,2,0.0,0.7323615160349854,4,1,2,3
194,7,1,12,9,2,3,0.0010001659393310547,0.47288629737609333,4,1,2,3
195,7,1,12,9,2,4,0.0009996891021728516,0.0,4,1,2,3
196,7,1,12,10,1,1,0.0,0.9825072886297376,7,3,4,4
197,7,1,12,10,1,2,0.0009999275207519531,0.8,7,3,4,4
198,7,1,12,10,1,3,0.0009999275207519531,0.7154518950437319,7,3,4,4
199,7,1,12,10,1,4,0.0010001659393310547,0.7323615160349854,7,3,4,4
200,7,1,12,10,1,5,0.0009996891021728516,0.4559766763848397,7,3,4,4
201,7,1,12,10,1,6,0.00032591819763183594,0.5247813411078718,7,3,4,4
202,7,1,12,10,1,7,0.001001119613647461,0.0,7,3,4,4
203,7,1,12,10,2,1,0.0010058879852294922,0.8279883381924199,2,1,1,2
204,7,1,12,10,2,2,0.0010018348693847656,0.0,2,1,1,2
205,7,2,7,7,1,1,0.0009996891021728516,0.8069148936170213,16,5,12,6
206,7,2,7,7,1,2,0.0010001659393310547,0.8,16,5,12,6
207,7,2,7,7,1,3,0.0009999275207519531,0.5872340425531914,16,5,12,6
208,7,2,7,7,1,4,0.0009999275207519531,0.6297872340425532,16,5,12,6
209,7,2,7,7,1,5,0.0009999275207519531,0.35238095238095235,16,5,12,6
210,7,2,7,7,1,6,0.0009999275207519531,0.23351063829787233,16,5,12,6
211,7,2,7,7,1,7,0.0010619163513183594,0.3468085106382979,16,5,12,6
212,7,2,7,7,1,8,0.0020034313201904297,0.24605652705956657,16,5,12,6
213,7,2,7,7,1,9,0.0010051727294921875,0.29361702127659584,16,5,12,6
214,7,2,7,7,1,10,0.002007007598876953,0.2539014973125404,16,5,12,6
215,7,2,7,7,1,11,0.002005338668823242,0.21478599221789885,16,5,12,6
216,7,2,7,7,1,12,0.0020928382873535156,0.09636631049865355,16,5,12,6
217,7,2,7,7,1,13,0.0020117759704589844,0.09205498011158864,16,5,12,6
218,7,2,7,7,1,14,0.0020112991333007812,0.10415822771899255,16,5,12,6
219,7,2,7,7,1,15,0.002048492431640625,0.09215929205821646,16,5,12,6
220,7,2,7,7,1,16,0.002081632614135742,1.1102230246251565e-16,16,5,12,6
221,7,2,7,7,2,1,0.0010018348693847656,0.8069148936170213,12,4,9,5
222,7,2,7,7,2,2,0.0015056133270263672,0.8,12,4,9,5
223,7,2,7,7,2,3,0.0,0.5872340425531914,12,4,9,5
224,7,2,7,7,2,4,0.0010008811950683594,0.6297872340425532,12,4,9,5
225,7,2,7,7,2,5,0.0010001659393310547,0.35238095238095235,12,4,9,5
226,7,2,7,7,2,6,0.0019998550415039062,0.23351063829787233,12,4,9,5
227,7,2,7,7,2,7,0.0009999275207519531,0.3468085106382979,12,4,9,5
228,7,2,7,7,2,8,0.0009999275207519531,0.24605652705956657,12,4,9,5
229,7,2,7,7,2,9,0.001062631607055664,0.29361702127659584,12,4,9,5
230,7,2,7,7,2,10,0.002004384994506836,0.12695074865627023,12,4,9,5
231,7,2,7,7,2,11,0.0019998550415039062,0.22364993278635334,12,4,9,5
232,7,2,7,7,2,12,0.0009999275207519531,2.220446049250313e-16,12,4,9,5
233,7,2,7,8,1,1,0.0009999275207519531,0.8069148936170213,12,4,9,5
234,7,2,7,8,1,2,0.0010001659393310547,0.8,12,4,9,5
235,7,2,7,8,1,3,0.0009999275207519531,0.5872340425531914,12,4,9,5
236,7,2,7,8,1,4,0.0009999275207519531,0.6297872340425532,12,4,9,5
237,7,2,7,8,1,5,0.0009999275207519531,0.35238095238095235,12,4,9,5
238,7,2,7,8,1,6,0.0009999275207519531,0.23351063829787233,12,4,9,5
239,7,2,7,8,1,7,0.0010001659393310547,0.3468085106382979,12,4,9,5
240,7,2,7,8,1,8,0.0009999275207519531,0.24605652705956657,12,4,9,5
241,7,2,7,8,1,9,0.002103090286254883,0.29361702127659584,12,4,9,5
242,7,2,7,8,1,10,0.0010001659393310547,0.12695074865627023,12,4,9,5
243,7,2,7,8,1,11,0.0019998550415039062,0.22364993278635334,12,4,9,5
244,7,2,7,8,1,12,0.0019998550415039062,2.220446049250313e-16,12,4,9,5
245,7,2,7,8,2,1,0.0009999275207519531,0.0,1,1,1,1
246,7,2,7,9,1,1,0.001001119613647461,0.8069148936170213,12,4,9,5
247,7,2,7,9,1,2,0.0009999275207519531,0.8,12,4,9,5
248,7,2,7,9,1,3,0.0,0.5872340425531914,12,4,9,5
249,7,2,7,9,1,4,0.0009999275207519531,0.6297872340425532,12,4,9,5
250,7,2,7,9,1,5,0.0009999275207519531,0.35238095238095235,12,4,9,5
251,7,2,7,9,1,6,0.0010001659393310547,0.23351063829787233,12,4,9,5
252,7,2,7,9,1,7,0.0009999275207519531,0.3468085106382979,12,4,9,5
253,7,2,7,9,1,8,0.002000093460083008,0.24605652705956657,12,4,9,5
